spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,F1,F2,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
transverse_Ty,Ty_h_in_plus_plus_i_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081794731704519e-01,6.5819998311868522e-02,1.2907776717464861e-01,1.5506754367762662e-01,1.9072163409285747e-01,1.6158600514512911e-01,2.7817496465551504e-02,5.1166945305339585e-03,5.1166953383527079e-03,5.1166949021945220e-03,5,1,-1,1,7,1,1,1,-2.9302852057578693e-02,-1.2318033959625999e-04,2.9303110962906428e-02,-3.1373889803846899e+00
transverse_Ty,Ty_h_in_plus_plus_i_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081794731704519e-01,6.5819998311868522e-02,1.2907776717464861e-01,1.5506754367762662e-01,1.9072163409285747e-01,1.6158600514512911e-01,2.7817496465551504e-02,5.1166945305339585e-03,5.1166953383527079e-03,5.1166949021945220e-03,6,1,1,-1,0,-1,-1,-1,-1.1896948143528992e-02,-4.5767309499946517e-03,1.2746914972590697e-02,-2.7743469410617507e+00
transverse_Ty,Ty_h_in_plus_plus_i_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081794731704519e-01,6.5819998311868522e-02,1.2907776717464861e-01,1.5506754367762662e-01,1.9072163409285747e-01,1.6158600514512911e-01,2.7817496465551504e-02,5.1166945305339585e-03,5.1166953383527079e-03,5.1166949021945220e-03,6,1,1,-1,1,-1,-1,1,0.0000000000000000e+00,-1.2729315625343542e-18,1.2729315625343542e-18,-1.5707963267948966e+00
transverse_Ty,Ty_h_in_plus_plus_i_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081794731704519e-01,6.5819998311868522e-02,1.2907776717464861e-01,1.5506754367762662e-01,1.9072163409285747e-01,1.6158600514512911e-01,2.7817496465551504e-02,5.1166945305339585e-03,5.1166953383527079e-03,5.1166949021945220e-03,6,1,1,-1,2,-1,1,-1,-2.4405429283654804e-02,-9.5616816206646818e-03,2.6211652636459842e-02,-2.7681881538488136e+00
transverse_Ty,Ty_h_in_plus_plus_i_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081794731704519e-01,6.5819998311868522e-02,1.2907776717464861e-01,1.5506754367762662e-01,1.9072163409285747e-01,1.6158600514512911e-01,2.7817496465551504e-02,5.1166945305339585e-03,5.1166953383527079e-03,5.1166949021945220e-03,6,1,1,-1,3,-1,1,1,4.5032250867314577e-02,1.7860807041803359e-02,4.8444938294534827e-02,3.7759141233787974e-01
transverse_Ty,Ty_h_in_plus_plus_i_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081794731704519e-01,6.5819998311868522e-02,1.2907776717464861e-01,1.5506754367762662e-01,1.9072163409285747e-01,1.6158600514512911e-01,2.7817496465551504e-02,5.1166945305339585e-03,5.1166953383527079e-03,5.1166949021945220e-03,6,1,1,-1,4,1,-1,-1,7.4837829522001289e-04,-3.2443697379703428e-06,7.4838532768314566e-04,-4.3351730455961045e-03
transverse_Ty,Ty_h_in_plus_plus_i_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081794731704519e-01,6.5819998311868522e-02,1.2907776717464861e-01,1.5506754367762662e-01,1.9072163409285747e-01,1.6158600514512911e-01,2.7817496465551504e-02,5.1166945305339585e-03,5.1166953383527079e-03,5.1166949021945220e-03,6,1,1,-1,5,1,-1,1,1.3270162660886181e-02,2.4559952738580303e-05,1.3270185388217315e-02,1.8507628975067624e-03
transverse_Ty,Ty_h_in_plus_plus_i_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081794731704519e-01,6.5819998311868522e-02,1.2907776717464861e-01,1.5506754367762662e-01,1.9072163409285747e-01,1.6158600514512911e-01,2.7817496465551504e-02,5.1166945305339585e-03,5.1166953383527079e-03,5.1166949021945220e-03,6,1,1,-1,6,1,1,-1,4.6941494843667282e-02,-1.2657213187180718e-19,4.6941494843667282e-02,-2.6963805113863475e-18
transverse_Ty,Ty_h_in_plus_plus_i_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081794731704519e-01,6.5819998311868522e-02,1.2907776717464861e-01,1.5506754367762662e-01,1.9072163409285747e-01,1.6158600514512911e-01,2.7817496465551504e-02,5.1166945305339585e-03,5.1166953383527079e-03,5.1166949021945220e-03,6,1,1,-1,7,1,1,1,-7.8476645254045213e-02,-4.2591076412397183e-04,7.8477801003266220e-02,-3.1361654773756364e+00
transverse_Ty,Ty_h_in_plus_plus_i_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081794731704519e-01,6.5819998311868522e-02,1.2907776717464861e-01,1.5506754367762662e-01,1.9072163409285747e-01,1.6158600514512911e-01,2.7817496465551504e-02,5.1166945305339585e-03,5.1166953383527079e-03,5.1166949021945220e-03,7,1,1,1,0,-1,-1,-1,-1.0183452500274834e-17,-1.2729315625343542e-18,1.0262702353096377e-17,-3.0172376590430319e+00
transverse_Ty,Ty_h_in_plus_plus_i_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081794731704519e-01,6.5819998311868522e-02,1.2907776717464861e-01,1.5506754367762662e-01,1.9072163409285747e-01,1.6158600514512911e-01,2.7817496465551504e-02,5.1166945305339585e-03,5.1166953383527079e-03,5.1166949021945220e-03,7,1,1,1,1,-1,-1,1,1.1896948143528993e-02,4.5767309499946517e-03,1.2746914972590697e-02,3.6724571252804233e-01
transverse_Ty,Ty_h_in_plus_plus_i_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081794731704519e-01,6.5819998311868522e-02,1.2907776717464861e-01,1.5506754367762662e-01,1.9072163409285747e-01,1.6158600514512911e-01,2.7817496465551504e-02,5.1166945305339585e-03,5.1166953383527079e-03,5.1166949021945220e-03,7,1,1,1,2,-1,1,-1,3.7522064515175153e-02,1.4476155651364434e-02,4.0217712614263594e-02,3.6820870385956372e-01
transverse_Ty,Ty_h_in_plus_plus_i_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081794731704519e-01,6.5819998311868522e-02,1.2907776717464861e-01,1.5506754367762662e-01,1.9072163409285747e-01,1.6158600514512911e-01,2.7817496465551504e-02,5.1166945305339585e-03,5.1166953383527079e-03,5.1166949021945220e-03,7,1,1,1,3,-1,1,1,-7.5636186433079178e-02,-2.9524842074452513e-02,8.1194513347029013e-02,-2.7694298775450270e+00
transverse_Ty,Ty_h_in_plus_plus_i_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081794731704519e-01,6.5819998311868522e-02,1.2907776717464861e-01,1.5506754367762662e-01,1.9072163409285747e-01,1.6158600514512911e-01,2.7817496465551504e-02,5.1166945305339585e-03,5.1166953383527079e-03,5.1166949021945220e-03,7,1,1,1,4,1,-1,-1,1.1903362417792725e-02,-1.2388291596478470e-04,1.1904007049148962e-02,-1.0407012671469503e-02
transverse_Ty,Ty_h_in_plus_plus_i_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081794731704519e-01,6.5819998311868522e-02,1.2907776717464861e-01,1.5506754367762662e-01,1.9072163409285747e-01,1.6158600514512911e-01,2.7817496465551504e-02,5.1166945305339585e-03,5.1166953383527079e-03,5.1166949021945220e-03,7,1,1,1,5,1,-1,1,-2.9302852057578693e-02,1.2318033959625945e-04,2.9303110962906428e-02,3.1373889803846899e+00
transverse_Ty,Ty_h_in_plus_plus_i_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081794731704519e-01,6.5819998311868522e-02,1.2907776717464861e-01,1.5506754367762662e-01,1.9072163409285747e-01,1.6158600514512911e-01,2.7817496465551504e-02,5.1166945305339585e-03,5.1166953383527079e-03,5.1166949021945220e-03,7,1,1,1,6,1,1,-1,-7.8476645254045213e-02,4.2591076412397161e-04,7.8477801003266220e-02,3.1361654773756364e+00
transverse_Ty,Ty_h_in_plus_plus_i_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081794731704519e-01,6.5819998311868522e-02,1.2907776717464861e-01,1.5506754367762662e-01,1.9072163409285747e-01,1.6158600514512911e-01,2.7817496465551504e-02,5.1166945305339585e-03,5.1166953383527079e-03,5.1166949021945220e-03,7,1,1,1,7,1,1,1,1.3466228786873602e-01,2.0806716889241103e-18,1.3466228786873602e-01,1.5451034746656573e-17
