detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,initial_spin_averaging_version,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_p_gamma_LTx_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_2,2,9.9262621755742197e-01,1.4726215563702154e+00,high_s_high_theta_in_low_Egamma,prepared_spin_ensemble_v4,k,2.2244176384674761e+00,-1.3620629704568554e-16,-2.2244176384655181e+00,-2.9513459707981364e-06,2.2244176384674761e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.9043236201663249e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,3.0434178831651120e+00,2.7752846578138013e-01,1.2537000946032065e-01,-1.7606339206200680e-02,2.8159906146948415e+00,1.0727248887750646e-01
c_p_gamma_LTx_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_2,2,9.9262621755742197e-01,1.4726215563702154e+00,high_s_high_theta_in_low_Egamma,prepared_spin_ensemble_v4,p,2.4140997970931570e+00,1.3620629704568556e-16,2.2244176384655181e+00,2.9513459707981364e-06,2.2244176384674761e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.9043236201663249e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,3.0434178831651120e+00,2.7752846578138013e-01,1.2537000946032065e-01,-1.7606339206200680e-02,2.8159906146948415e+00,1.0727248887750646e-01
c_p_gamma_LTx_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_2,2,9.9262621755742197e-01,1.4726215563702154e+00,high_s_high_theta_in_low_Egamma,prepared_spin_ensemble_v4,kp,2.0157144653531951e+00,4.9759236333609841e-01,-1.9533321903311054e+00,0.0000000000000000e+00,2.0157144653531951e+00,4.9618240710571735e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.9043236201663249e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,3.0434178831651120e+00,2.7752846578138013e-01,1.2537000946032065e-01,-1.7606339206200680e-02,2.8159906146948415e+00,1.0727248887750646e-01
c_p_gamma_LTx_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_2,2,9.9262621755742197e-01,1.4726215563702154e+00,high_s_high_theta_in_low_Egamma,prepared_spin_ensemble_v4,pp,2.1228029702078750e+00,0.0000000000000000e+00,1.9043236201663249e+00,0.0000000000000000e+00,1.9043236201663249e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.9043236201663249e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,3.0434178831651120e+00,2.7752846578138013e-01,1.2537000946032065e-01,-1.7606339206200680e-02,2.8159906146948415e+00,1.0727248887750646e-01
c_p_gamma_LTx_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_2,2,9.9262621755742197e-01,1.4726215563702154e+00,high_s_high_theta_in_low_Egamma,prepared_spin_ensemble_v4,qout,5.0000000000000000e-01,-4.9759236333609841e-01,4.9008570164780413e-02,0.0000000000000000e+00,4.9999999999999994e-01,3.0434178831651120e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.9043236201663249e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,3.0434178831651120e+00,2.7752846578138013e-01,1.2537000946032065e-01,-1.7606339206200680e-02,2.8159906146948415e+00,1.0727248887750646e-01
c_p_gamma_LTx_region_3,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_3,3,9.8910677178753181e-01,9.8174770424681057e-01,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,k,2.2244176384674761e+00,1.5729007963499337e+00,-1.5729007963499340e+00,-2.9513459707981364e-06,2.2244176384674761e+00,5.4977871437821380e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.5148244614515521e-01,1.5707949999999999e+00,2.3561944901923448e+00,1.8000000000000000e+00,2.5525440310417071e+00,7.0454230943843676e-02,2.2099596007824164e-02,-2.3513071373471681e+00,3.9974222977458203e+00,1.5448888004892739e-01
c_p_gamma_LTx_region_3,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_3,3,9.8910677178753181e-01,9.8174770424681057e-01,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,p,2.4140997970931570e+00,-1.5729007963499337e+00,1.5729007963499340e+00,2.9513459707981364e-06,2.2244176384674761e+00,2.3561944901923448e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.5148244614515521e-01,1.5707949999999999e+00,2.3561944901923448e+00,1.8000000000000000e+00,2.5525440310417071e+00,7.0454230943843676e-02,2.2099596007824164e-02,-2.3513071373471681e+00,3.9974222977458203e+00,1.5448888004892739e-01
c_p_gamma_LTx_region_3,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_3,3,9.8910677178753181e-01,9.8174770424681057e-01,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,kp,1.8883643260615246e+00,1.4966453021445816e+00,-1.1515088655804391e+00,0.0000000000000000e+00,1.8883643260615246e+00,5.6273875795423267e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.5148244614515521e-01,1.5707949999999999e+00,2.3561944901923448e+00,1.8000000000000000e+00,2.5525440310417071e+00,7.0454230943843676e-02,2.2099596007824164e-02,-2.3513071373471681e+00,3.9974222977458203e+00,1.5448888004892739e-01
c_p_gamma_LTx_region_3,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_3,3,9.8910677178753181e-01,9.8174770424681057e-01,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,pp,9.5015310949873744e-01,0.0000000000000000e+00,1.5148244614515521e-01,0.0000000000000000e+00,1.5148244614515521e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.5148244614515521e-01,1.5707949999999999e+00,2.3561944901923448e+00,1.8000000000000000e+00,2.5525440310417071e+00,7.0454230943843676e-02,2.2099596007824164e-02,-2.3513071373471681e+00,3.9974222977458203e+00,1.5448888004892739e-01
c_p_gamma_LTx_region_3,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_3,3,9.8910677178753181e-01,9.8174770424681057e-01,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,qout,1.8000000000000000e+00,-1.4966453021445816e+00,1.0000264194352839e+00,0.0000000000000000e+00,1.8000000000000000e+00,2.5525440310417071e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.5148244614515521e-01,1.5707949999999999e+00,2.3561944901923448e+00,1.8000000000000000e+00,2.5525440310417071e+00,7.0454230943843676e-02,2.2099596007824164e-02,-2.3513071373471681e+00,3.9974222977458203e+00,1.5448888004892739e-01
c_p_gamma_Tx_proton_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_0,0,9.9993053428915157e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,prepared_spin_ensemble_v4,k,2.2244176384674761e+00,-1.3620629704568554e-16,-2.2244176384655181e+00,-2.9513459707981364e-06,2.2244176384674761e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6983517803280428e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,1.5707963267948966e+00,8.6083697208666753e-12,3.5599155441077255e-11,-5.2131716285352368e-02,1.1216578749052220e+00,1.1718059455021848e-02
c_p_gamma_Tx_proton_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_0,0,9.9993053428915157e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,prepared_spin_ensemble_v4,p,2.4140997970931570e+00,1.3620629704568556e-16,2.2244176384655181e+00,2.9513459707981364e-06,2.2244176384674761e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6983517803280428e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,1.5707963267948966e+00,8.6083697208666753e-12,3.5599155441077255e-11,-5.2131716285352368e-02,1.1216578749052220e+00,1.1718059455021848e-02
c_p_gamma_Tx_proton_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_0,0,9.9993053428915157e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,prepared_spin_ensemble_v4,kp,2.1983517803280428e+00,-3.0616169978683830e-17,-2.1983517803280428e+00,0.0000000000000000e+00,2.1983517803280428e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6983517803280428e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,1.5707963267948966e+00,8.6083697208666753e-12,3.5599155441077255e-11,-5.2131716285352368e-02,1.1216578749052220e+00,1.1718059455021848e-02
c_p_gamma_Tx_proton_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_0,0,9.9993053428915157e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,prepared_spin_ensemble_v4,pp,1.9401656552324167e+00,0.0000000000000000e+00,1.6983517803280428e+00,0.0000000000000000e+00,1.6983517803280428e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6983517803280428e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,1.5707963267948966e+00,8.6083697208666753e-12,3.5599155441077255e-11,-5.2131716285352368e-02,1.1216578749052220e+00,1.1718059455021848e-02
c_p_gamma_Tx_proton_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_0,0,9.9993053428915157e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,prepared_spin_ensemble_v4,qout,5.0000000000000000e-01,3.0616169978683830e-17,5.0000000000000000e-01,0.0000000000000000e+00,5.0000000000000000e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6983517803280428e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,1.5707963267948966e+00,8.6083697208666753e-12,3.5599155441077255e-11,-5.2131716285352368e-02,1.1216578749052220e+00,1.1718059455021848e-02
c_p_gamma_Tx_proton_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_1,1,9.9946060913674772e-01,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,prepared_spin_ensemble_v4,k,2.2244176384674761e+00,-1.3620629704568554e-16,-2.2244176384655181e+00,-2.9513459707981364e-06,2.2244176384674761e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1525279643384914e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.5707963267948966e+00,8.4289246847148379e-12,1.2638527252170574e-11,-2.8755869651993132e-01,1.5467670137681346e+00,3.2318424780798813e-02
c_p_gamma_Tx_proton_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_1,1,9.9946060913674772e-01,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,prepared_spin_ensemble_v4,p,2.4140997970931570e+00,1.3620629704568556e-16,2.2244176384655181e+00,2.9513459707981364e-06,2.2244176384674761e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1525279643384914e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.5707963267948966e+00,8.4289246847148379e-12,1.2638527252170574e-11,-2.8755869651993132e-01,1.5467670137681346e+00,3.2318424780798813e-02
c_p_gamma_Tx_proton_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_1,1,9.9946060913674772e-01,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,prepared_spin_ensemble_v4,kp,2.1525279643384914e+00,-6.1232339957367660e-17,-2.1525279643384914e+00,0.0000000000000000e+00,2.1525279643384914e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1525279643384914e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.5707963267948966e+00,8.4289246847148379e-12,1.2638527252170574e-11,-2.8755869651993132e-01,1.5467670137681346e+00,3.2318424780798813e-02
c_p_gamma_Tx_proton_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_1,1,9.9946060913674772e-01,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,prepared_spin_ensemble_v4,pp,1.4859894712218613e+00,0.0000000000000000e+00,1.1525279643384914e+00,0.0000000000000000e+00,1.1525279643384914e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1525279643384914e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.5707963267948966e+00,8.4289246847148379e-12,1.2638527252170574e-11,-2.8755869651993132e-01,1.5467670137681346e+00,3.2318424780798813e-02
c_p_gamma_Tx_proton_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_1,1,9.9946060913674772e-01,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,prepared_spin_ensemble_v4,qout,1.0000000000000000e+00,6.1232339957367660e-17,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1525279643384914e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.5707963267948966e+00,8.4289246847148379e-12,1.2638527252170574e-11,-2.8755869651993132e-01,1.5467670137681346e+00,3.2318424780798813e-02
c_p_gamma_Tx_proton_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_2,2,9.8734580469972966e-01,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,k,2.2244176384674761e+00,-1.3620629704568554e-16,-2.2244176384655181e+00,-2.9513459707981364e-06,2.2244176384674761e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,9.5652926546798259e-02,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,1.5707963267948966e+00,7.4230050206779787e-12,2.4338027025873357e-12,-2.3671059258277984e+00,3.9298056968822634e+00,1.4779810510223340e-01
c_p_gamma_Tx_proton_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_2,2,9.8734580469972966e-01,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,p,2.4140997970931570e+00,1.3620629704568556e-16,2.2244176384655181e+00,2.9513459707981364e-06,2.2244176384674761e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,9.5652926546798259e-02,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,1.5707963267948966e+00,7.4230050206779787e-12,2.4338027025873357e-12,-2.3671059258277984e+00,3.9298056968822634e+00,1.4779810510223340e-01
c_p_gamma_Tx_proton_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_2,2,9.8734580469972966e-01,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,kp,1.8956529265467983e+00,-1.1021821192326179e-16,-1.8956529265467983e+00,0.0000000000000000e+00,1.8956529265467983e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,9.5652926546798259e-02,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,1.5707963267948966e+00,7.4230050206779787e-12,2.4338027025873357e-12,-2.3671059258277984e+00,3.9298056968822634e+00,1.4779810510223340e-01
c_p_gamma_Tx_proton_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_2,2,9.8734580469972966e-01,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,pp,9.4286450901334018e-01,0.0000000000000000e+00,9.5652926546798259e-02,0.0000000000000000e+00,9.5652926546798259e-02,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,9.5652926546798259e-02,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,1.5707963267948966e+00,7.4230050206779787e-12,2.4338027025873357e-12,-2.3671059258277984e+00,3.9298056968822634e+00,1.4779810510223340e-01
c_p_gamma_Tx_proton_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_2,2,9.8734580469972966e-01,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,qout,1.8000000000000000e+00,1.1021821192326179e-16,1.8000000000000000e+00,0.0000000000000000e+00,1.8000000000000000e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,9.5652926546798259e-02,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,1.5707963267948966e+00,7.4230050206779787e-12,2.4338027025873357e-12,-2.3671059258277984e+00,3.9298056968822634e+00,1.4779810510223340e-01
c_p_gamma_TxTx_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTx,enhanced_region_0,0,9.9993053428908540e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,prepared_spin_ensemble_v4,k,2.2244176384674761e+00,-1.3620629704568554e-16,-2.2244176384655181e+00,-2.9513459707981364e-06,2.2244176384674761e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6983517803280428e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,1.5707963267948966e+00,8.6083697208666753e-12,3.5599155441077255e-11,-5.2131716285352368e-02,1.1216578749052220e+00,1.1718059455021848e-02
c_p_gamma_TxTx_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTx,enhanced_region_0,0,9.9993053428908540e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,prepared_spin_ensemble_v4,p,2.4140997970931570e+00,1.3620629704568556e-16,2.2244176384655181e+00,2.9513459707981364e-06,2.2244176384674761e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6983517803280428e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,1.5707963267948966e+00,8.6083697208666753e-12,3.5599155441077255e-11,-5.2131716285352368e-02,1.1216578749052220e+00,1.1718059455021848e-02
c_p_gamma_TxTx_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTx,enhanced_region_0,0,9.9993053428908540e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,prepared_spin_ensemble_v4,kp,2.1983517803280428e+00,-3.0616169978683830e-17,-2.1983517803280428e+00,0.0000000000000000e+00,2.1983517803280428e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6983517803280428e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,1.5707963267948966e+00,8.6083697208666753e-12,3.5599155441077255e-11,-5.2131716285352368e-02,1.1216578749052220e+00,1.1718059455021848e-02
c_p_gamma_TxTx_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTx,enhanced_region_0,0,9.9993053428908540e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,prepared_spin_ensemble_v4,pp,1.9401656552324167e+00,0.0000000000000000e+00,1.6983517803280428e+00,0.0000000000000000e+00,1.6983517803280428e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6983517803280428e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,1.5707963267948966e+00,8.6083697208666753e-12,3.5599155441077255e-11,-5.2131716285352368e-02,1.1216578749052220e+00,1.1718059455021848e-02
