spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,F1,F2,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.0168862226512001e+01,8.5541372269504312e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061631e+00,5.7606386127729059e-01,5.0034447753445531e-02,-6.9388939039072284e-18,-5.5511151231257827e-17,True,1,1,-5.0332005111849179e-17,-5.3800884867420740e-17,-2.3776782163731183e-01,0.0000000000000000e+00,-2.3776782936178364e-01,-2.3776782936178364e-01,0.0000000000000000e+00,8.0439534653394701e-33,-5.0414148571910344e-09,-5.0414148571910344e-09,6,1,1,-1,0,-1,-1,-1,-2.8190977398063088e-18,-1.7841468393952549e-19,2.8247378402298292e-18,-3.0783890804813256e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.0168862226512001e+01,8.5541372269504312e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061631e+00,5.7606386127729059e-01,5.0034447753445531e-02,-6.9388939039072284e-18,-5.5511151231257827e-17,True,1,1,-5.0332005111849179e-17,-5.3800884867420740e-17,-2.3776782163731183e-01,0.0000000000000000e+00,-2.3776782936178364e-01,-2.3776782936178364e-01,0.0000000000000000e+00,8.0439534653394701e-33,-5.0414148571910344e-09,-5.0414148571910344e-09,6,1,1,-1,1,-1,-1,1,-9.1495364859019382e-19,-7.7202067318448908e-19,1.1971449782264217e-18,-2.4407200299440479e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.0168862226512001e+01,8.5541372269504312e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061631e+00,5.7606386127729059e-01,5.0034447753445531e-02,-6.9388939039072284e-18,-5.5511151231257827e-17,True,1,1,-5.0332005111849179e-17,-5.3800884867420740e-17,-2.3776782163731183e-01,0.0000000000000000e+00,-2.3776782936178364e-01,-2.3776782936178364e-01,0.0000000000000000e+00,8.0439534653394701e-33,-5.0414148571910344e-09,-5.0414148571910344e-09,6,1,1,-1,2,-1,1,-1,2.9760723510622840e-18,3.5284940442201853e-19,2.9969166389738578e-18,1.1801120318706275e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.0168862226512001e+01,8.5541372269504312e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061631e+00,5.7606386127729059e-01,5.0034447753445531e-02,-6.9388939039072284e-18,-5.5511151231257827e-17,True,1,1,-5.0332005111849179e-17,-5.3800884867420740e-17,-2.3776782163731183e-01,0.0000000000000000e+00,-2.3776782936178364e-01,-2.3776782936178364e-01,0.0000000000000000e+00,8.0439534653394701e-33,-5.0414148571910344e-09,-5.0414148571910344e-09,6,1,1,-1,3,-1,1,1,3.3555171590549825e-19,7.6065597601054827e-19,8.3137985775918575e-19,1.1553392293686329e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.0168862226512001e+01,8.5541372269504312e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061631e+00,5.7606386127729059e-01,5.0034447753445531e-02,-6.9388939039072284e-18,-5.5511151231257827e-17,True,1,1,-5.0332005111849179e-17,-5.3800884867420740e-17,-2.3776782163731183e-01,0.0000000000000000e+00,-2.3776782936178364e-01,-2.3776782936178364e-01,0.0000000000000000e+00,8.0439534653394701e-33,-5.0414148571910344e-09,-5.0414148571910344e-09,6,1,1,-1,4,1,-1,-1,-5.5853699410794901e-03,1.4115247695201607e-02,1.5180137511748983e-02,1.9475882633905655e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.0168862226512001e+01,8.5541372269504312e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061631e+00,5.7606386127729059e-01,5.0034447753445531e-02,-6.9388939039072284e-18,-5.5511151231257827e-17,True,1,1,-5.0332005111849179e-17,-5.3800884867420740e-17,-2.3776782163731183e-01,0.0000000000000000e+00,-2.3776782936178364e-01,-2.3776782936178364e-01,0.0000000000000000e+00,8.0439534653394701e-33,-5.0414148571910344e-09,-5.0414148571910344e-09,6,1,1,-1,5,1,-1,1,-2.4511136909333563e-02,2.6873384502207914e-02,3.6372718171613222e-02,2.3102548668747396e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.0168862226512001e+01,8.5541372269504312e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061631e+00,5.7606386127729059e-01,5.0034447753445531e-02,-6.9388939039072284e-18,-5.5511151231257827e-17,True,1,1,-5.0332005111849179e-17,-5.3800884867420740e-17,-2.3776782163731183e-01,0.0000000000000000e+00,-2.3776782936178364e-01,-2.3776782936178364e-01,0.0000000000000000e+00,8.0439534653394701e-33,-5.0414148571910344e-09,-5.0414148571910344e-09,6,1,1,-1,6,1,1,-1,1.0958698117024082e-01,0.0000000000000000e+00,1.0958698117024082e-01,0.0000000000000000e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.0168862226512001e+01,8.5541372269504312e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061631e+00,5.7606386127729059e-01,5.0034447753445531e-02,-6.9388939039072284e-18,-5.5511151231257827e-17,True,1,1,-5.0332005111849179e-17,-5.3800884867420740e-17,-2.3776782163731183e-01,0.0000000000000000e+00,-2.3776782936178364e-01,-2.3776782936178364e-01,0.0000000000000000e+00,8.0439534653394701e-33,-5.0414148571910344e-09,-5.0414148571910344e-09,6,1,1,-1,7,1,1,1,1.6053357238215862e-01,8.3847386569562921e-02,1.8111160121958914e-01,4.8133147486842204e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.0168862226512001e+01,8.5541372269504312e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061631e+00,5.7606386127729059e-01,5.0034447753445531e-02,-6.9388939039072284e-18,-5.5511151231257827e-17,True,1,1,-5.0332005111849179e-17,-5.3800884867420740e-17,-2.3776782163731183e-01,0.0000000000000000e+00,-2.3776782936178364e-01,-2.3776782936178364e-01,0.0000000000000000e+00,8.0439534653394701e-33,-5.0414148571910344e-09,-5.0414148571910344e-09,7,1,1,1,0,-1,-1,-1,-1.0169164633248394e-18,-7.8070275886363104e-19,1.2820358384531940e-18,-2.4868495558868084e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.0168862226512001e+01,8.5541372269504312e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061631e+00,5.7606386127729059e-01,5.0034447753445531e-02,-6.9388939039072284e-18,-5.5511151231257827e-17,True,1,1,-5.0332005111849179e-17,-5.3800884867420740e-17,-2.3776782163731183e-01,0.0000000000000000e+00,-2.3776782936178364e-01,-2.3776782936178364e-01,0.0000000000000000e+00,8.0439534653394701e-33,-5.0414148571910344e-09,-5.0414148571910344e-09,7,1,1,1,1,-1,-1,1,5.7924360497512862e-19,-1.5074773356266113e-18,1.6149337668562416e-18,-1.2039434673825693e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.0168862226512001e+01,8.5541372269504312e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061631e+00,5.7606386127729059e-01,5.0034447753445531e-02,-6.9388939039072284e-18,-5.5511151231257827e-17,True,1,1,-5.0332005111849179e-17,-5.3800884867420740e-17,-2.3776782163731183e-01,0.0000000000000000e+00,-2.3776782936178364e-01,-2.3776782936178364e-01,0.0000000000000000e+00,8.0439534653394701e-33,-5.0414148571910344e-09,-5.0414148571910344e-09,7,1,1,1,2,-1,1,-1,3.4356276150332650e-18,4.6741036387750993e-19,3.4672769657815436e-18,1.3521785469857037e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.0168862226512001e+01,8.5541372269504312e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061631e+00,5.7606386127729059e-01,5.0034447753445531e-02,-6.9388939039072284e-18,-5.5511151231257827e-17,True,1,1,-5.0332005111849179e-17,-5.3800884867420740e-17,-2.3776782163731183e-01,0.0000000000000000e+00,-2.3776782936178364e-01,-2.3776782936178364e-01,0.0000000000000000e+00,8.0439534653394701e-33,-5.0414148571910344e-09,-5.0414148571910344e-09,7,1,1,1,3,-1,1,1,-1.9694439733166768e-18,5.3558260482563642e-19,2.0409699386872881e-18,2.8760678414229335e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.0168862226512001e+01,8.5541372269504312e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061631e+00,5.7606386127729059e-01,5.0034447753445531e-02,-6.9388939039072284e-18,-5.5511151231257827e-17,True,1,1,-5.0332005111849179e-17,-5.3800884867420740e-17,-2.3776782163731183e-01,0.0000000000000000e+00,-2.3776782936178364e-01,-2.3776782936178364e-01,0.0000000000000000e+00,8.0439534653394701e-33,-5.0414148571910344e-09,-5.0414148571910344e-09,7,1,1,1,4,1,-1,-1,6.5413355093756021e-04,3.4241915485508256e-02,3.4248162969992307e-02,1.5516953510819034e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.0168862226512001e+01,8.5541372269504312e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061631e+00,5.7606386127729059e-01,5.0034447753445531e-02,-6.9388939039072284e-18,-5.5511151231257827e-17,True,1,1,-5.0332005111849179e-17,-5.3800884867420740e-17,-2.3776782163731183e-01,0.0000000000000000e+00,-2.3776782936178364e-01,-2.3776782936178364e-01,0.0000000000000000e+00,8.0439534653394701e-33,-5.0414148571910344e-09,-5.0414148571910344e-09,7,1,1,1,5,1,-1,1,-2.1962052571423862e-02,6.1772742021186183e-02,6.5560684941251238e-02,1.9123889803846901e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.0168862226512001e+01,8.5541372269504312e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061631e+00,5.7606386127729059e-01,5.0034447753445531e-02,-6.9388939039072284e-18,-5.5511151231257827e-17,True,1,1,-5.0332005111849179e-17,-5.3800884867420740e-17,-2.3776782163731183e-01,0.0000000000000000e+00,-2.3776782936178364e-01,-2.3776782936178364e-01,0.0000000000000000e+00,8.0439534653394701e-33,-5.0414148571910344e-09,-5.0414148571910344e-09,7,1,1,1,6,1,1,-1,1.6053357238215862e-01,-8.3847386569562921e-02,1.8111160121958914e-01,-4.8133147486842204e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.0168862226512001e+01,8.5541372269504312e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061631e+00,5.7606386127729059e-01,5.0034447753445531e-02,-6.9388939039072284e-18,-5.5511151231257827e-17,True,1,1,-5.0332005111849179e-17,-5.3800884867420740e-17,-2.3776782163731183e-01,0.0000000000000000e+00,-2.3776782936178364e-01,-2.3776782936178364e-01,0.0000000000000000e+00,8.0439534653394701e-33,-5.0414148571910344e-09,-5.0414148571910344e-09,7,1,1,1,7,1,1,1,3.0128377289380548e-01,0.0000000000000000e+00,3.0128377289380548e-01,0.0000000000000000e+00
